id,price
188533,17566.12
188534,66505.74666666666
188535,60825.479999999996
188536,44830.914666666664
188537,36888.18709677419
188538,26898.94158730159
188539,19648.486614173227
188540,33906.860078431375
188541,56393.37401174168
188542,43538.79370478984
188543,37765.67794821691
188544,25197.2105006105
188545,38274.31657673056
188546,76757.80213391932
188547,47118.331542100284
188548,85947.17325215533
188549,54440.52624943733
188550,33011.5363796096
188551,65479.74511799835
188552,63185.07537063157
188553,65437.79875949801
188554,44369.64935671075
188555,44139.484650917606
188556,32474.286630158815
188557,28265.323189642524
188558,59347.27705797846
188559,44489.75341829206
188560,29408.241652963017
188561,54895.63087395548
188562,40687.365423745265
188563,67666.94772443597
188564,64572.36886149748
188565,58080.10942999294
188566,44336.89471419651
188567,29826.56735667595
188568,40571.988678494345
188569,34856.15433920558
188570,26357.572169571875
188571,31308.901084794943
188572,67446.23054243033
188573,45630.32027120525
188574,40034.58013560135
188575,42312.130067800936
188576,38021.21003390023
188577,25683.435016949767
188578,30261.092508474947
188579,40288.13625423754
188580,42582.04812711878
188581,70137.21906355945
188582,48164.8095317797
188583,76315.05976588986
188584,55252.13488294493
188585,46467.26744147247
188586,39760.458720736235
188587,48677.55936036812
188588,37219.19968018406
188589,27450.809840092028
188590,26416.58992004601
188591,27197.314960023006
188592,32327.407480011505
188593,32353.24874000575
188594,51445.46437000287
188595,40987.537185001434
188596,59675.75359250072
188597,44860.34179625036
188598,36220.330898125176
188599,25683.18544906259
188600,40743.9577245313
188601,49201.47886226565
188602,43045.51943113282
188603,90005.77471556641
188604,51038.86735778321
188605,48287.5486788916
188606,42993.1393394458
188607,55762.7646697229
188608,36407.242334861454
188609,45099.00116743073
188610,44710.02558371537
188611,33382.052791857684
188612,53869.51639592884
188613,38654.16319796442
188614,28849.36659898221
188615,31280.743299491107
188616,53299.55664974555
188617,50806.13832487278
188618,36977.92916243639
188619,60157.1395812182
188620,38954.5397906091
188621,31705.96489530455
188622,67849.56244765228
188623,65259.291223826134
188624,54029.745611913066
188625,41745.34780595653
188626,29498.183902978264
188627,74722.48195148913
188628,80986.86597574456
188629,52852.617987872276
188630,39716.913993936134
188631,49754.40699696807
188632,53361.36349848403
188633,58486.56174924201
188634,34886.090874621004
188635,32762.545437310502
188636,43036.03771865525
188637,27655.923859327624
188638,31063.27692966381
188639,28097.348464831906
188640,20421.054232415954
188641,23799.977116207978
188642,19282.263558103987
188643,57930.181779052
188644,77480.815889526
188645,66808.587944763
188646,39759.1439723815
188647,30413.55198619075
188648,29683.285993095375
188649,36133.70299654769
188650,68420.35649827385
188651,60799.96324913693
188652,61168.24162456846
188653,68522.38081228423
188654,41294.46540614212
188655,29419.14770307106
188656,29626.298851535532
188657,32776.13942576777
188658,22142.774712883882
188659,39029.947356441946
188660,25644.608678220975
188661,57177.28933911049
188662,34534.07966955524
188663,25884.02483477762
188664,56817.05741738881
188665,95164.0037086944
188666,61507.5318543472
188667,36698.0259271736
188668,26376.4729635868
188669,27908.9164817934
188670,46017.3232408967
188671,34273.62162044835
188672,27821.375810224177
188673,45254.87790511209
188674,29989.958952556044
188675,30546.809476278024
188676,38527.924738139016
188677,24892.51736906951
188678,30820.348684534754
188679,33712.13934226738
188680,48441.80967113369
188681,31865.959835566846
188682,23203.059917783423
188683,20675.72495889171
188684,44679.79247944585
188685,46586.466239722926
188686,76980.31311986147
188687,50264.13655993073
188688,43799.46327996536
188689,28214.111639982682
188690,31930.430819991343
188691,42285.86540999568
188692,38529.297704997836
188693,26071.288852498918
188694,20823.529426249457
188695,20901.46971312473
188696,50412.24485656236
188697,41661.962428281186
188698,28187.416214140594
188699,44728.5131070703
188700,89411.49655353515
188701,61213.73827676757
188702,37876.90913838379
188703,65322.49956919189
188704,59476.28478459595
188705,42508.81739229798
188706,69464.488696149
188707,41467.8843480745
188708,29595.917174037248
188709,21525.748587018625
188710,22313.59429350931
188711,26292.047146754656
188712,41337.213573377325
188713,38977.191786688665
188714,31398.400893344333
188715,35533.85544667217
188716,57524.412723336085
188717,34876.88636166805
188718,26889.393180834024
188719,34989.14159041701
188720,26067.840795208507
188721,47453.715397604254
188722,53260.202698802124
188723,38538.22634940106
188724,34363.14317470053
188725,23400.286587350267
188726,33801.16829367513
188727,23311.949146837564
188728,40407.24457341878
188729,30418.02228670939
188730,52738.76614335469
