id,price
188533,17139.3410712543
188534,83296.04089313274
188535,57233.38207419994
188536,32585.69693895118
188537,29294.325571457473
188538,18254.799780708527
188539,11977.284804664692
188540,48861.354235559265
188541,82853.56950579406
188542,30480.677041251576
188543,28100.73022280972
188544,11565.434386601139
188545,50326.008868153294
188546,116128.20009920154
188547,16844.310954071323
188548,124235.30822901987
188549,21772.02343882371
188550,11010.445078493336
188551,92480.7368419121
188552,60803.47678383756
188553,68115.28873475458
188554,21670.14897620775
188555,43895.30770704938
188556,19616.468647102545
188557,22486.278082992176
188558,91386.96103846478
188559,31283.910850105156
188560,13956.767184805802
188561,79658.72340355093
188562,27062.35402010974
188563,95866.63426518116
188564,58316.34233234109
188565,49814.43623925812
188566,32253.382329417454
188567,14949.789831232487
188568,50375.74908444765
188569,26823.81484906609
188570,17129.589847300827
188571,37282.80625773539
188572,104504.00320490779
188573,23521.803323080618
188574,34593.29746174776
188575,43994.05153353602
188576,33702.487741707504
188577,12593.307797043622
188578,34292.0019747659
188579,49090.15229875027
188580,43618.809517659065
188581,96920.65763951866
188582,26845.747805226743
188583,101448.27961725759
188584,34486.450054436194
188585,37962.20952679126
188586,32526.163252659477
188587,58421.375130723914
188588,25524.295848796286
188589,16726.627702417565
188590,22900.933660946517
188591,28726.799005361703
188592,37699.06718028069
188593,34597.902223419296
188594,70396.27023147598
188595,29230.906457336278
188596,71887.98413263175
188597,30846.71654012065
188598,26963.85460792437
188599,14887.203997649081
188600,57203.668737258355
188601,58205.945497351844
188602,36042.34892371675
188603,141759.3103923047
188604,11495.14216665323
188605,46196.38085203496
188606,37228.157166451936
188607,66450.2330924802
188608,16271.312307571687
188609,54262.331692138665
188610,44050.16012559761
188611,20976.92787011082
188612,75641.24031296991
188613,22716.41453889614
188614,18490.071937152723
188615,33253.04686433863
188616,80293.45338514674
188617,45208.95920435968
188618,23192.418517305665
188619,83707.776318696
188620,18126.828033300968
188621,24243.484707529162
188622,103552.74061736319
188623,62282.21889659437
188624,43363.99936673392
188625,30744.04249092973
188626,17193.67230066567
188627,117314.84848458212
188628,87181.97695317566
188629,23887.713247104115
188630,28678.550132855064
188631,61673.68726517987
188632,56863.48881066926
188633,64222.94777643454
188634,10642.37219032151
188635,30853.405251721277
188636,54058.27791049497
188637,11483.182230865068
188638,33763.08880933632
188639,25202.313712229374
188640,12357.533886949723
188641,26624.766220093126
188642,14121.247768061887
188643,99255.2396150293
188644,96779.54662469352
188645,56276.73378696475
188646,11599.970398742164
188647,21435.672729016405
188648,29810.48125821124
188649,41620.772679772315
188650,102495.43203568045
188651,53339.48010388522
188652,61814.89840049494
188653,78957.71693074293
188654,12715.181957156463
188655,17563.259012859562
188656,29075.52101516917
188657,36859.14074080571
188658,11002.242656103668
188659,58616.01831572752
188660,11455.340448009014
188661,89850.93158402419
188662,11419.782557667324
188663,17342.35855000747
188664,85679.20950822339
188665,141469.868063283
188666,28424.35280162937
188667,11642.324634815519
188668,16081.241871851555
188669,27356.82579815506
188670,64249.781287591504
188671,22856.773820936764
188672,20951.27630044479
188673,64625.12122287814
